state_name,district_name,market_center_name,Variety,group_name,Arrival,MIN,MAX,MODAL,date_arrival
Maharashtra,Ahmednagar,Ahmednagar,Other,Fruits,1,400,600,500,30-Jun-22
Maharashtra,Ahmednagar,Ahmednagar,Other,Fruits,1,400,500,450,28-Jun-22
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,400,400,17-Dec-22
Maharashtra,Sholapur,Akluj,Other,Fruits,2,300,500,400,16-Sep-22
Maharashtra,Sholapur,Akluj,Other,Fruits,2,300,500,400,28-Aug-22
Maharashtra,Sholapur,Akluj,Other,Fruits,2,300,550,500,27-Aug-22
Maharashtra,Sholapur,Akluj,Other,Fruits,1,250,700,500,26-Aug-22
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,550,400,15-Aug-22
Maharashtra,Sholapur,Akluj,Other,Fruits,2,300,550,400,10-Aug-22
Maharashtra,Sholapur,Akluj,Other,Fruits,1,250,500,400,08-Aug-22
Maharashtra,Sholapur,Akluj,Other,Fruits,1,200,500,300,07-Aug-22
Maharashtra,Sholapur,Akluj,Other,Fruits,2,200,500,300,06-Aug-22
Maharashtra,Sholapur,Akluj,Other,Fruits,2,200,550,500,05-Aug-22
Maharashtra,Sholapur,Akluj,Other,Fruits,2,300,550,400,03-Aug-22
Maharashtra,Sholapur,Akluj,Other,Fruits,2,300,500,400,31-Jul-22
Maharashtra,Sholapur,Akluj,Other,Fruits,2,200,500,350,29-Jul-22
Maharashtra,Sholapur,Akluj,Other,Fruits,2,200,500,500,27-Jul-22
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,500,400,23-Jul-22
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,500,400,20-Jul-22
Maharashtra,Sholapur,Akluj,Other,Fruits,2,200,500,400,17-Jul-22
Maharashtra,Sholapur,Akluj,Other,Fruits,1,300,550,400,16-Jul-22
Maharashtra,Sholapur,Akluj,Other,Fruits,2,250,500,400,15-Jul-22
Maharashtra,Sholapur,Akluj,Other,Fruits,2,300,550,400,13-Jul-22
Maharashtra,Sholapur,Akluj,Other,Fruits,2,250,500,400,11-Jul-22
Maharashtra,Sholapur,Akluj,Other,Fruits,2,300,500,400,03-Jul-22
Maharashtra,Sholapur,Akluj,Other,Fruits,2,200,500,300,02-Jul-22
Maharashtra,Sholapur,Akluj,Other,Fruits,1,250,525,500,01-Jul-22
Maharashtra,Sholapur,Akluj,Other,Fruits,1,250,500,300,29-Jun-22
Maharashtra,Sholapur,Akluj,Other,Fruits,1,200,500,300,26-Jun-22
Maharashtra,Sholapur,Akluj,Other,Fruits,1,250,500,300,22-Jun-22
Maharashtra,Sholapur,Akluj,Other,Fruits,2,300,500,400,18-Jun-22
Maharashtra,Sholapur,Akluj,Other,Fruits,2,300,500,400,17-Jun-22
Maharashtra,Sholapur,Akluj,Other,Fruits,2,300,500,400,16-Jun-22
Maharashtra,Sholapur,Akluj,Other,Fruits,2,300,600,500,10-Jun-22
Maharashtra,Sholapur,Akluj,Other,Fruits,2,300,550,500,09-Jun-22
Maharashtra,Sholapur,Akluj,Other,Fruits,2,300,600,500,05-Jun-22
Maharashtra,Sholapur,Akluj,Other,Fruits,3,250,500,400,01-Jun-22
Maharashtra,Sholapur,Akluj,Other,Fruits,2,300,700,550,29-May-22
Maharashtra,Sholapur,Akluj,Other,Fruits,2,400,800,700,28-May-22
Maharashtra,Sholapur,Akluj,Other,Fruits,2,300,700,500,27-May-22
Maharashtra,Sholapur,Akluj,Other,Fruits,3,250,600,500,22-May-22
Maharashtra,Sholapur,Akluj,Other,Fruits,2,300,600,450,21-May-22
Maharashtra,Sholapur,Akluj,Other,Fruits,3,300,600,500,20-May-22
Maharashtra,Sholapur,Akluj,Other,Fruits,3,300,700,600,19-May-22
Maharashtra,Sholapur,Akluj,Other,Fruits,5,300,700,500,18-May-22
Maharashtra,Sholapur,Akluj,Other,Fruits,3,300,700,600,15-May-22
Maharashtra,Sholapur,Akluj,Other,Fruits,4,300,800,500,11-May-22
Maharashtra,Sholapur,Akluj,Other,Fruits,5,300,900,600,08-May-22
